# TIA-102.BABA-A annex_g_hoc_allocation.csv — Bit Allocation for Higher Order DCT Coefficients (full-rate)
# Source: BABA-A PDF, pages 89-101
# Extracted from pdftotext -layout output with verification: Entry count = L-6 per L (3 at L=9 up to 50 at L=56); b_m contiguous from 8
L,C_i,C_k,b_m,B_m
54,3,5,27,1
54,3,6,28,1
54,3,7,29,1
54,3,8,30,1
54,3,9,31,0
54,4,2,32,2
54,4,3,33,2
54,4,4,34,1
54,4,5,35,1
54,4,6,36,1
54,4,7,37,0
54,4,8,38,0
54,4,9,39,0
54,5,2,40,2
54,5,3,41,1
54,5,4,42,1
54,5,5,43,1
54,5,6,44,1
54,5,7,45,0
54,5,8,46,0
54,5,9,47,0
54,6,2,48,2
54,6,3,49,1
54,6,4,50,1
54,6,5,51,1
54,6,6,52,0
54,6,7,53,0
54,6,8,54,0
54,6,9,55,0
55,1,2,8,3
55,1,3,9,2
55,1,4,10,2
55,1,5,11,1
55,1,6,12,1
55,1,7,13,1
55,1,8,14,1
55,1,9,15,0
55,2,2,16,3
55,2,3,17,2
55,2,4,18,2
55,2,5,19,1
55,2,6,20,1
55,2,7,21,1
55,2,8,22,1
55,2,9,23,0
55,3,2,24,2
55,3,3,25,2
55,3,4,26,1
55,3,5,27,1
55,3,6,28,1
55,3,7,29,1
55,3,8,30,1
55,3,9,31,0
55,4,2,32,2
55,4,3,33,2
55,4,4,34,1
55,4,5,35,1
55,4,6,36,1
55,4,7,37,0
55,4,8,38,0
55,4,9,39,0
55,5,2,40,2
55,5,3,41,1
55,5,4,42,1
55,5,5,43,1
55,5,6,44,0
55,5,7,45,0
55,5,8,46,0
55,5,9,47,0
55,6,2,48,2
55,6,3,49,1
55,6,4,50,1
55,6,5,51,1
55,6,6,52,1
55,6,7,53,0
55,6,8,54,0
55,6,9,55,0
55,6,10,56,0
56,1,2,8,3
56,1,3,9,2
56,1,4,10,2
56,1,5,11,1
56,1,6,12,1
56,1,7,13,1
56,1,8,14,1
56,1,9,15,0
56,2,2,16,3
56,2,3,17,2
56,2,4,18,2
56,2,5,19,1
56,2,6,20,1
56,2,7,21,1
56,2,8,22,1
56,2,9,23,0
56,3,2,24,2
56,3,3,25,2
56,3,4,26,1
56,3,5,27,1
56,3,6,28,1
56,3,7,29,1
56,3,8,30,1
56,3,9,31,0
56,4,2,32,2
56,4,3,33,2
56,4,4,34,1
56,4,5,35,1
56,4,6,36,1
56,4,7,37,0
56,4,8,38,0
56,4,9,39,0
56,5,2,40,2
56,5,3,41,1
56,5,4,42,1
56,5,5,43,1
56,5,6,44,1
56,5,7,45,0
56,5,8,46,0
56,5,9,47,0
56,5,10,48,0
56,6,2,49,2
56,6,3,50,1
56,6,4,51,1
56,6,5,52,1
56,6,6,53,0
56,6,7,54,0
56,6,8,55,0
56,6,9,56,0
56,6,10,57,0
