# TIA-102.BAAA-B annex_a3_ldu1_transmit_bit_order.csv -- LDU1 Transmit Bit Order
# Source: TIA-102.BAAA-B PDF, Annex A, page(s) 58-70
# Extracted from pdftotext -layout output with verification:
#   Symbol coverage: 0..863 (864 rows, complete with no gaps)
# Convention: symbol=dibit index in transmitted order; bit1=MSB of dibit, bit0=LSB
# Field names: FS=Frame Sync, NID=Network ID, NAC, DUID, BCH_parity,
#   SS=Status Symbol, IMBE codewords c_0..c_7, Short_Hamm_parity,
#   Short_Golay_parity, Extend_Golay_parity, RS_parity, LC_format,
#   MFID, LC_information, MI, ALGID, KID, LSD_info, cyclic_parity
symbol,field,bit1,bit0
336,Status 9,c_1(16),c_0(17)
337,Status 9,c_3(14),c_2(15)
338,Status 9,c_6(11),c_4(5)
339,Status 9,c_0(16),c_1(15)
340,Status 9,c_2(14),c_3(13)
341,Status 9,c_4(4),c_6(10)
342,Status 9,c_1(14),c_0(15)
343,Status 9,c_3(12),c_2(13)
344,Status 9,c_6(9),c_4(3)
345,Status 9,c_0(14),c_1(13)
346,Status 9,c_2(12),c_3(11)
347,Status 9,c_4(2),c_6(8)
348,Status 9,c_1(12),c_0(13)
349,Status 9,c_3(10),c_2(11)
350,Status 9,c_6(7),c_4(1)
351,Status 9,c_0(12),c_1(11)
352,Status 9,c_2(10),c_3(9)
353,Status 9,c_4(0),c_6(6)
354,Status 9,c_1(10),c_0(11)
355,Status 9,c_3(8),c_2(9)
356,Status 9,c_6(5),c_5(14)
357,Status 9,c_0(10),c_1(9)
358,Status 9,c_2(8),c_3(7)
359,Status 10,SS(1),SS(0)
360,Status 10,c_5(13),c_6(4)
361,Status 10,c_1(8),c_0(9)
362,Status 10,c_3(6),c_2(7)
363,Status 10,c_6(3),c_5(12)
364,Status 10,c_0(8),c_1(7)
365,Status 10,c_2(6),c_3(5)
366,Status 10,c_5(11),c_6(2)
367,Status 10,c_1(6),c_0(7)
368,Status 10,c_3(4),c_2(5)
369,Status 10,c_6(1),c_5(10)
370,Status 10,c_0(6),c_1(5)
371,Status 10,c_2(4),c_3(3)
372,Status 10,c_5(9),c_6(0)
373,Status 10,c_1(4),c_0(5)
374,Status 10,c_3(2),c_2(3)
375,Status 10,c_7(6),c_5(8)
376,Status 10,c_0(4),c_1(3)
377,Status 10,c_2(2),c_3(1)
378,Status 10,c_5(7),c_7(5)
379,Status 10,c_1(2),c_0(3)
380,Status 10,c_3(0),c_2(1)
381,Status 10,c_7(4),c_5(6)
382,Status 10,c_0(2),c_1(1)
383,Status 10,c_2(0),c_4(14)
384,Status 10,c_5(5),c_7(3)
385,Status 10,c_1(0),c_0(1)
386,Status 10,c_4(13),c_3(22)
387,Status 10,c_7(2),c_5(4)
388,Status 10,c_0(0),c_2(22)
389,Status 10,c_3(21),c_4(12)
390,Status 10,c_5(3),c_7(1)
391,Status 10,c_2(21),c_1(22)
392,Status 10,c_4(11),c_3(20)
393,END of 4,c_7(0),c_5(2)
394,END of 4,LC_information(23),LC_information(22)
395,Status 11,SS(1),SS(0)
396,Status 11,LC_information(21),LC_information(20)
397,Status 11,LC_information(19),LC_information(18)
398,Status 11,Short_Hamm_parity(3),Short_Hamm_parity(2)
399,Status 11,Short_Hamm_parity(1),Short_Hamm_parity(0)
400,Status 11,LC_information(17),LC_information(16)
401,Status 11,LC_information(15),LC_information(14)
402,Status 11,LC_information(13),LC_information(12)
403,Status 11,Short_Hamm_parity(3),Short_Hamm_parity(2)
404,Status 11,Short_Hamm_parity(1),Short_Hamm_parity(0)
405,Status 11,LC_information(11),LC_information(10)
406,Status 11,LC_information(9),LC_information(8)
407,Status 11,LC_information(7),LC_information(6)
408,Status 11,Short_Hamm_parity(3),Short_Hamm_parity(2)
409,Status 11,Short_Hamm_parity(1),Short_Hamm_parity(0)
410,Status 11,LC_information(5),LC_information(4)
411,Status 11,LC_information(3),LC_information(2)
412,Status 11,LC_information(1),LC_information(0)
413,Status 11,Short_Hamm_parity(3),Short_Hamm_parity(2)
414,Status 11,Short_Hamm_parity(1),Short_Hamm_parity(0)
415,IMBE 5,c_0(22),c_1(21)
416,IMBE 5,c_2(20),c_3(19)
417,IMBE 5,c_4(10),c_5(1)
418,IMBE 5,c_1(20),c_0(21)
419,IMBE 5,c_3(18),c_2(19)
420,IMBE 5,c_5(0),c_4(9)
421,IMBE 5,c_0(20),c_1(19)
422,IMBE 5,c_2(18),c_3(17)
423,IMBE 5,c_4(8),c_6(14)
424,IMBE 5,c_1(18),c_0(19)
425,IMBE 5,c_3(16),c_2(17)
426,IMBE 5,c_6(13),c_4(7)
427,IMBE 5,c_0(18),c_1(17)
428,IMBE 5,c_2(16),c_3(15)
429,IMBE 5,c_4(6),c_6(12)
430,IMBE 5,c_1(16),c_0(17)
431,Status 12,SS(1),SS(0)
432,Status 12,c_3(14),c_2(15)
433,Status 12,c_6(11),c_4(5)
434,Status 12,c_0(16),c_1(15)
435,Status 12,c_2(14),c_3(13)
436,Status 12,c_4(4),c_6(10)
437,Status 12,c_1(14),c_0(15)
438,Status 12,c_3(12),c_2(13)
439,Status 12,c_6(9),c_4(3)
440,Status 12,c_0(14),c_1(13)
441,Status 12,c_2(12),c_3(11)
442,Status 12,c_4(2),c_6(8)
443,Status 12,c_1(12),c_0(13)
444,Status 12,c_3(10),c_2(11)
445,Status 12,c_6(7),c_4(1)
446,Status 12,c_0(12),c_1(11)
447,Status 12,c_2(10),c_3(9)
448,Status 12,c_4(0),c_6(6)
449,Status 12,c_1(10),c_0(11)
450,Status 12,c_3(8),c_2(9)
451,Status 12,c_6(5),c_5(14)
452,Status 12,c_0(10),c_1(9)
453,Status 12,c_2(8),c_3(7)
454,Status 12,c_5(13),c_6(4)
455,Status 12,c_1(8),c_0(9)
456,Status 12,c_3(6),c_2(7)
457,Status 12,c_6(3),c_5(12)
458,Status 12,c_0(8),c_1(7)
459,Status 12,c_2(6),c_3(5)
460,Status 12,c_5(11),c_6(2)
461,Status 12,c_1(6),c_0(7)
462,Status 12,c_3(4),c_2(5)
463,Status 12,c_6(1),c_5(10)
464,Status 12,c_0(6),c_1(5)
465,Status 12,c_2(4),c_3(3)
466,Status 12,c_5(9),c_6(0)
467,Status 13,SS(1),SS(0)
468,Status 13,c_1(4),c_0(5)
469,Status 13,c_3(2),c_2(3)
470,Status 13,c_7(6),c_5(8)
471,Status 13,c_0(4),c_1(3)
472,Status 13,c_2(2),c_3(1)
473,Status 13,c_5(7),c_7(5)
474,Status 13,c_1(2),c_0(3)
475,Status 13,c_3(0),c_2(1)
476,Status 13,c_7(4),c_5(6)
477,Status 13,c_0(2),c_1(1)
478,Status 13,c_2(0),c_4(14)
479,Status 13,c_5(5),c_7(3)
480,Status 13,c_1(0),c_0(1)
481,Status 13,c_4(13),c_3(22)
482,Status 13,c_7(2),c_5(4)
483,Status 13,c_0(0),c_2(22)
484,Status 13,c_3(21),c_4(12)
485,Status 13,c_5(3),c_7(1)
486,Status 13,c_2(21),c_1(22)
487,Status 13,c_4(11),c_3(20)
488,END of 5,c_7(0),c_5(2)
489,END of 5,RS_parity_11(5),RS_parity_11(4)
490,END of 5,RS_parity_11(3),RS_parity_11(2)
491,END of 5,RS_parity_11(1),RS_parity_11(0)
492,END of 5,Short_Hamm_parity(3),Short_Hamm_parity(2)
493,END of 5,Short_Hamm_parity(1),Short_Hamm_parity(0)
494,END of 5,RS_parity_10(5),RS_parity_10(4)
495,END of 5,RS_parity_10(3),RS_parity_10(2)
496,END of 5,RS_parity_10(1),RS_parity_10(0)
497,END of 5,Short_Hamm_parity(3),Short_Hamm_parity(2)
498,END of 5,Short_Hamm_parity(1),Short_Hamm_parity(0)
499,END of 5,RS_parity_9(5),RS_parity_9(4)
500,END of 5,RS_parity_9(3),RS_parity_9(2)
501,END of 5,RS_parity_9(1),RS_parity_9(0)
502,END of 5,Short_Hamm_parity(3),Short_Hamm_parity(2)
503,Status 14,SS(1),SS(0)
504,Status 14,Short_Hamm_parity(1),Short_Hamm_parity(0)
505,Status 14,RS_parity_8(5),RS_parity_8(4)
506,Status 14,RS_parity_8(3),RS_parity_8(2)
507,Status 14,RS_parity_8(1),RS_parity_8(0)
508,Status 14,Short_Hamm_parity(3),Short_Hamm_parity(2)
509,Status 14,Short_Hamm_parity(1),Short_Hamm_parity(0)
510,IMBE 6,c_0(22),c_1(21)
511,IMBE 6,c_2(20),c_3(19)
512,IMBE 6,c_4(10),c_5(1)
513,IMBE 6,c_1(20),c_0(21)
514,IMBE 6,c_3(18),c_2(19)
515,IMBE 6,c_5(0),c_4(9)
516,IMBE 6,c_0(20),c_1(19)
517,IMBE 6,c_2(18),c_3(17)
518,IMBE 6,c_4(8),c_6(14)
519,IMBE 6,c_1(18),c_0(19)
520,IMBE 6,c_3(16),c_2(17)
521,IMBE 6,c_6(13),c_4(7)
522,IMBE 6,c_0(18),c_1(17)
523,IMBE 6,c_2(16),c_3(15)
524,IMBE 6,c_4(6),c_6(12)
525,IMBE 6,c_1(16),c_0(17)
526,IMBE 6,c_3(14),c_2(15)
527,IMBE 6,c_6(11),c_4(5)
528,IMBE 6,c_0(16),c_1(15)
529,IMBE 6,c_2(14),c_3(13)
530,IMBE 6,c_4(4),c_6(10)
531,IMBE 6,c_1(14),c_0(15)
532,IMBE 6,c_3(12),c_2(13)
533,IMBE 6,c_6(9),c_4(3)
534,IMBE 6,c_0(14),c_1(13)
535,IMBE 6,c_2(12),c_3(11)
536,IMBE 6,c_4(2),c_6(8)
537,IMBE 6,c_1(12),c_0(13)
538,IMBE 6,c_3(10),c_2(11)
539,Status 15,SS(1),SS(0)
540,Status 15,c_6(7),c_4(1)
541,Status 15,c_0(12),c_1(11)
542,Status 15,c_2(10),c_3(9)
543,Status 15,c_4(0),c_6(6)
544,Status 15,c_1(10),c_0(11)
545,Status 15,c_3(8),c_2(9)
546,Status 15,c_6(5),c_5(14)
547,Status 15,c_0(10),c_1(9)
