# TIA-102.BAAA-B annex_a2_hdu_transmit_bit_order.csv -- HDU Transmit Bit Order
# Source: TIA-102.BAAA-B PDF, Annex A, page(s) 52-57
# Extracted from pdftotext -layout output with verification:
#   Symbol coverage: 0..395 (396 rows, complete with no gaps)
# Convention: symbol=dibit index in transmitted order; bit1=MSB of dibit, bit0=LSB
# Field names: FS=Frame Sync, NID=Network ID, NAC, DUID, BCH_parity,
#   SS=Status Symbol, IMBE codewords c_0..c_7, Short_Hamm_parity,
#   Short_Golay_parity, Extend_Golay_parity, RS_parity, LC_format,
#   MFID, LC_information, MI, ALGID, KID, LSD_info, cyclic_parity
symbol,field,bit1,bit0
293,Status 8,Short_Golay_parity(9),Short_Golay_parity(8)
294,Status 8,Short_Golay_parity(7),Short_Golay_parity(6)
295,Status 8,Short_Golay_parity(5),Short_Golay_parity(4)
296,Status 8,Short_Golay_parity(3),Short_Golay_parity(2)
297,Status 8,Short_Golay_parity(1),Short_Golay_parity(0)
298,Status 8,RS_parity_9(5),RS_parity_9(4)
299,Status 8,RS_parity_9(3),RS_parity_9(2)
300,Status 8,RS_parity_9(1),RS_parity_9(0)
301,Status 8,Short_Golay_parity(11),Short_Golay_parity(10)
302,Status 8,Short_Golay_parity(9),Short_Golay_parity(8)
303,Status 8,Short_Golay_parity(7),Short_Golay_parity(6)
304,Status 8,Short_Golay_parity(5),Short_Golay_parity(4)
305,Status 8,Short_Golay_parity(3),Short_Golay_parity(2)
306,Status 8,Short_Golay_parity(1),Short_Golay_parity(0)
307,Status 8,RS_parity_8(5),RS_parity_8(4)
308,Status 8,RS_parity_8(3),RS_parity_8(2)
309,Status 8,RS_parity_8(1),RS_parity_8(0)
310,Status 8,Short_Golay_parity(11),Short_Golay_parity(10)
311,Status 8,Short_Golay_parity(9),Short_Golay_parity(8)
312,Status 8,Short_Golay_parity(7),Short_Golay_parity(6)
313,Status 8,Short_Golay_parity(5),Short_Golay_parity(4)
314,Status 8,Short_Golay_parity(3),Short_Golay_parity(2)
315,Status 8,Short_Golay_parity(1),Short_Golay_parity(0)
316,Status 8,RS_parity_7(5),RS_parity_7(4)
317,Status 8,RS_parity_7(3),RS_parity_7(2)
